place
Holstebro
Fagerstrand pr. Høvik
Kbh. Aalborg
Hobro Kbh
Kbh-
Nykjøbing Mors
Amager
Kopenh.
Helsingøer
Mariebo
Kiøbenhaffn.
Tranqvebar
Nyk. M.
Kbh. London
Hillerød
Bogense
Assens Odense
Kbhn.
Kbh. Kristiania Kbh
Otthense
tAmsterdam
S. A.
Kiøbenhavnime
Danmark
Amsterdam
Lemvig
U.st.
Kiøbenhaun
Præstø
Thorshavn
Kjøbenavn
Köpmannahaffn
Svendborg.
Tranqveb.
Kopenhagen
Prentet i Lybeck
Odense  trykt i det Miloske Bogtrykkeri
Gjövik
Christianstæd St. Croix
Aarhusz
Neenah Wisconsin
Kbh. Hillerød
Battle Creek
Nakskov Odense
Malmøe
Armstrong Iowa
"Ringsted  ""Folketidendens"" Bogtrykkeri"
Nykøbing M.
Alling pr. Laven
U.St.
Kjøbenhavn Brødr. Hornums Officin
Washington
Aalborg Kbh
Kbh. Bergen
Frederikstad
Kbh. Hamburg
Kbhvn.
Kjøbenhavn.
Lyngby Kbh.
Aalb.
Kjøbenhafn
NA
Othenis
Flensborg og Kiel
Brecklum
Varde
kbh.
Hamburg
Schlesw.
Ringsted.
Skien
Randers Kbh
Esbjerg
Nexö
S. l.
Christianstad
Ordrup pr. Ringsted
Blair Neb.
Aarhuss
Kjøbenhaffn
Kbh. Gyldendal
Nykjøb. M.
Greifswald
Kjbhv.
Götheborg
Decorah Iowa
Itzehoe
Kbhavn.
Hauniæ.
Frederiksberg
Maribo
Rudkøbing
Kjøbenhav
Ringkøbing
Blair Nebr.
Flensburg
St. Paul Minn.
Red Wing. Minn
Nexø
Kbh. Christiania
Veile ca
S l.
Trondhiem
Høiskole
Stubbekjbing
Frederikshald
Tundern
I Kjøbenhafn
Rappsøe
Fakse
Herning
Holmestrand
Würzburg
Ærøskøbing
Christiania?
Risør
Kbh. Odense
Kbh. Fredericia
Kbh. Middelfart
Vejle Kbh.
Rødkilde
Nyborg Odense
Kbh. Helsingør
Aarh
Nibe
Copenhague
Glückstadt
Aarh.
Cedar Falls Ia.
Helsingør Kbh
Halæ Magd.
Kilonii
Lyckstad
Illinois
Gotha
Horsens.
Storehedinge
Kbh. Nykøbing S.
Frederiksborg
Aalestrup
Heide Slesvig-Holstein
Horsens Odense
Minneapolis Minnesota
Aaalborg
Faxe
Kiøbenhavn og Aalborg
Moss
Århus
Haderslev Kbh
Kbh. Sorø
Gothenborg
S. L.
Oldenburg
Kbh. ca
Nykøbing paa Falster
Rom
Polsk-Preusen i.e. København?
Helmstädt
Paris i Schwaben
Christianiæ
Aarhus-Århus
Prag
Nyborg Kbh
Schlesswick
Weile
Omaha Neb.
Vrå
Nykjøbing F.
Trykt i det Schultziske Officin.
Christ.
Chrístianshavn
Halis Saxonum
Gedsted
Kbh. Vordingborg
Skelskør
Nykjöbing F.
Kiøbenhauffn
Svendborg Rudkjøbing
S.l. ca
Immansville
Viborg.
Mideelfart
Hauniae
Borris ved Ringkjøbing
Frederiksstad
Odense.
Christianshavn
Kbhl.
Racine Wis.
1862.
Helsingör
Kjerteminde
Aalb
Skjern
Tokio
Sonderb.
Rendsborg
Nyk. F.
Tilsted pr. Thisted
Køge
Kbh. Kristiania
Straszborg
Mai
Soröe
Kiøbenhaffn  Prentet hoss Heinrich Waldkirch
Drammen
Boston Mass.
Neustadt an der Aysch
St. Petersborg
Nykøbing S.
La Crosse Wisconsin
Flensb.
Aalborg Faaborg
Nykøbing på Mors
Frederikssund
Freiburg
bekiendtgiort
Sarpsborg
Kjøbenhavn  Hoffenberg Jespersen og Fr. Traps Etabl.
Othensee
Hartland Wis.
Reykjavík
Vele
Schønberg-Preatz
Malmø
Inmansville Wis.
alborg
Soræ
Arendal
Paris
Kristiansand
Racine
Nykiøbing
Kjøbenhavn  Trykt hos F. E. Bording
Chicago Ill
Rönne
Khh.
1846.
Kiøbehavn
Kbh. Aaorhus
Randers Svendborg
Hjærring
New York
Kjøbenhavn  Udgivet og forlagt af Math. Meyer søn af Eduard Mayer
Riga
Struer
Aalborg  Trykt i Stiftsbogtrykkeriet
Kbh. efter
Næstved og København
Trondh.
Inmansville
Korsør
Schlesvig
Bergen.
Goettingae
Kiøbenhavn  Trykt paa Hofboghandler Beekens Forlag hos Schiøtz og Mandra
Koldindg
Kollekolle
Kpmh.
Bergen  trykt  af Christoph Kothert
Tolne
Kjøbenhavn  N. Møller og Søn
Tot Amsterdam
Kbh. Roskilde
Nykjøbing i Sj.
Eegseth
Flensburg.
Hafniense
Havn.
Neksø
Elk-Horn
Hafnia
Ærøskjøbing
arobpe
Arhus
Fanø
Hoved-Kommissionær C. A. Reitzel
Kjøbenhavn  C. A. Reitzels Forlag
Nørrebro
Kbh. før
Wiborgl
Gött.
Kiøbenhawn
Strasburg
Kjøbenhavn  Vilhelm Trydes Forlag
Løgstør
Manistee Mich
Cedar Falls Iowa
Nykøbing på Falster
Odder
Jægersborg
Kjøbenhavn  Trykt i Flyvepostens Officin ved J. Davidsen
Kjøbenhavn  Trykt hos O. C. Olsen & Co.
Christiansssand
Brooklyn
Rudolstadt
Kiøbenhavn etc.
Venedig i.e. København
Dølby
Nykøbing Mols
Kiøbenhavn  Trykt hos Nicolaus Møller Kongel. Hofbogtrykker
Battle Creek Mich.
Nykøbing Mors
Oldesloe
Stage
Christiansfeld
Kbh. Ringsted
Viborg efter
Københavh
Hermansborg
Minneapolis Minn.
S.l. før
Kjøebnhavn
Uppsala
Kiøebnhafn
Witteberg
Battle Creek Michigan
Kbh.?
I Kiøbenhafn
Kiøbenhaffen
Kbjøbenhavn
Wiesbaden
Holstebro Ringkjøbing
Ordrup
Kjøbenhavn  Vilh. Mølcks Forlag
Kjøbeenhavn
Kbh. Nykøbing F.
Bruxelles
NykĜbing F.
Kiøbenhavbn
Lybek
Greffuenhagen y Hollandt
Ribe.
Skiern
Holstebro Viborg
Kolding Odense
Laurvig
Nykjøbing p. Sj
Nürnberg
Pantschevo
Kristinia
Havniæ
Oebierregaard
Hafniae
Copenh.
Nykøbing p. F.
Cedar Falls Ia
Wiborg
Dresden
Kjøbenahvn
Kjøbenhavn  Trykt hos samt oversat og forlagt af Jacob Behrend
Upsala
Rostock
Kjøbenhavn  Trykt hos C. Ferslew & Komp.
Pittsburgh Pa.
Friderichshald
Ullerup
Throndhjem
Marstal
Ny York
Nykjøbing Sjælland
KBH.
Christianssand
Torshavn
Erfurt
Kbh. Hobrom
Madison Wisconsin
bh.
Flensborg og Haderslev Kiel
Kiöbenhavn.
Arhuus
Kbb.
Sleswig
Rvk.
for
Kiøbenhavn  Trykt hos B. J. Bendixen
Odense Sønderborg
Hadersleben
Stettin
Lillehammer
Altona.
Kjøbenhan
Schleszwig
Horne
Battle Creek Mich. Chicago Ill. Toronto Ont. Atlanta Georgia
Frankf. a. d. O.
Aarhus Skanderborg
Malmogiæ
Apr.
Salt Lake City
Kolombo
Brønderslev
Lübeck
Åbenrå
1766.
La Crosse Wis.
Christianssund
Odense Kbh
Berlin
Nykjøbing F
Petersborg
Nykjøbing p. Falster
Sleszwig
Horten
Christiansted
Fredrikshold
Havniame
Horsens Kbh
Cøln
Kvinderup
Odense Kbh.
Charlottenlund
Nykøbing Falster
1873
Molde
Aalborgi
Köpenhamn
Stralsund
Kbh. 21. Julii
Nykjøbing Falster
Odinsöe
Kolding  Konrad Jørgensens Bogtrykkeri ved J. P. Løye
I Kiøbenhaffn
Kiobenhavn
Kbh. Kolding
St. Croix
Kjøbenhavn  Sally B. Salomons Tryk
Kjøbenhavn  Trykt i H. G. Brills Bogtrykkeri
Stenderup  s.n.
Kjøbehavn
Köbenhavn
Bremen
Godthaab
Tønsberg
Hiørring
Schanderborg
Kiøbenhavn  findes tilkiøbs hos J.W. Boppenhausen
Randers Aarhus
San Francisco California
Nykjøbing i Sjælland
Tronh.
Kiøbanhaffn
Kiøbenhacn
Nykøbing paa Mors
Gloucester
Nyborg Kbh.
Skjelskør
Eckernförde
Konstantinopel
Stubbekjøbing Nykøbing F.
Nykjøbing p. Sj.
Altenburg
Kjobenhavn
Kjøbanhavn
Skilderie
Aarhus Kbh
Næstved.
øbenhavn
Soroe
Fredb.
Kiøbenh
Scandinavien i.e. Christiania
Nakskov Kbh.
Nykjøb. Mors
Kiøbindhaffn
KKiøbenhaffn
Kiøhenhavn
Christianiatiania
Koøbenhavn
Halmstad
Breklum
Hrappsøe
Kiøbenhavnme
Tranquebar
Kjøbenhavn  Trykt hos C. Lund
Kiøbenhavn  trykt hos Paul Herman Höecke
Kragerø
Jowa
Nörhebo pr. Varde
Kiøbenhafn.
Landcadetterne.
Hamborg Kbh.
Frankfurt a. M.
Kieøbenhavn
Kbh.iøbenhavn
Helnæs Assens
Reykjaviik
Zion City Illinois
Kiøebnhaffn
Rockford Ill
Kjøbenhavn  Gyldendal
Augustenborg
Madison Wis.
Møgeltønder
Kbh. Christiania Kbh
Nørhebo pr. Varde
Hellerup
Aarhuus.
Wittebergh
Tronheim
Febr.
Helsingf
Tranebjerg
Sandnæs
Kjøbenhavn  Trykt i Bianco Lunos Bogtrykkeri
Nullibi
Los Angeles
Nykjøbing p. Mors
Slessvig
Leipz.
Kbh. Præstø
Jun.
Christinaia
Nykﾛbing F. Kbh
Marburg
Marti
Flensborg Kbh
kbh
Cöln
Skovlunde
Kbh. Næstved
Khavn
Helmerstadii
Kbh. Holbek
Freiberg
Hongkong
Kbh. ?
Bonn
Kjøbenhavn  Udgivet og forlagt af Eduard Meyer
Kristianssand
Brunsberg Braniewo
Kjöbenhavn .
Haffniæ
Newcastle
Newcastle?
Oldenb.
Tryct hos Hendrick Gøede
Brooklyn c
Porsgrunn
Göttingen
Haderslev.
Kbh. og Kristiania
Hekkebøl i Norup Sogn
Flensburgi
Kjøbenhavn  Trykt hos C. Ferslew & Co.
Kristiania Kbh.
Gottingen
Thundern
Kiøbenhavn.
Sleszwick
Søborg pr. Esrom
Kiöbenhavnime
Fahlun
Davenport Iowa
Odensem
Jebjerg
Frederiksborg efter
Ekernförde
Köln
Nykj. p. F.
s. l.
Riisøer
Kiöbenh.
Helsingør Odense
Nykjøbing paa Mors
Kbn.
P. G. Philipsen
Kjøbbenhavn
Kjøbehavn  N. G. Calbergs Bogtrykkeri
ave
Nykjöbing
Odense  R. Nielsens Boghandel
Helsingborg
Kbh. Korsør
Kjøbhvn.
Aalborg.
Nov.
1892.
Løgumkloster
S.n.
Lyckstadt
Kjøbenhavn  Andr. Schous Forlag
Kjøbh.
Kjønenhavn
S.l.ca
Hafn
Christiana
Norge
Sørøe
Sonderburg
Herning.
Odense Nexø
Kjbh
Kiøbenhaff
Omaha Nebraska
Køpenhamn
Neenah Wis
Manchester
Leyden
Tønning
Oxford
Hjörring
Helsingoer
Nykjøbing Mols
Soerøe
Nykjøb. F.
Rostochii
Odense Merseburg
Philadelphia Pa.
St. Thomas
Slagelse Kbh.
Fredrikstad
Kbhv.
U. St.
Frederiksted
Kjøbnhavn
Nuremberg
Bergen?
Chic
Kiøbenhavn  Trykt hos L. R. Svares Enke
Prentet i Kiøbenh.
Kjøbenhavnime
220 s.
Kiøbehhafn
Kbh. Slagelse
Buenos Aires
Hoolum
Trankebar
Helsingør Kbh.
Slaglosiæ
Mørkebo pr. Varde
Bagterp v. Hjørring
Sæby
Nykjøbing paa Falster
Kiøbenhavn i.e. Christiania
Aarhus Horsens
Carlsruhe
189?.
Kioøbenhavn
Klaustrup v. Hjørring
Koldinghuus
Fredensborg
Minneapolis. Minn
Samsø
Faxe Ladeplads
Kiøbenhavn  Trykt hos Niels Christensen
Sorø Kbh
Minnapolis
Lindholm
Chicago Illinois
openhague
Årh
Franc fort sur-le-Mein
Aarhus Kbh.
Naksov
Christiansfeldt
Skaarup pr. Svendborg
Fradericia
Kbh. Æreskjøbing
Stubbekjøbing Kbh
St. Paul. Minn.
Kaupmannah.
Giesteløv
Slesswig
Trundhiem
Klastrup.
København.
Nykjøbing S.
Kbh. Ærøeskjøbing
Færø.
1790.
Elhøy
Stubbekøbing
Nykjøbing M
München
Rosenborg
KKjøbenhavn
1861
Oldenborg
Fredrikshald
Kbh. etc
Regenssborch
Kbh. Sorøe
Decohah Iowa
Kbh. Lund Christiania
Aar
Eleutheropolis
Nykøbing p/F.
Aalesund
Nykjøbing p/F.
Kjøbenhavn  trykt hos C. Ferslew & Co.
Kjøbenhavn  Fjeldsøe & Gandrups Bogtrykkeri
Kiøenhavn
Nakskov Kbh
Slesvigæ
Haag Kbh.
Kiöbenhaven
Rosskilde
Thisten
Storeheddinge
Halle
Linköping
Fredricia
Kjøbenhavn  I Commission hos Universitetsboghandler A. F. Høst
Kiøbenhav
Friderichstad
Gottenborg
Hosens
Kbh. Nyborg
Kbh. Roeskilde
Ringe
Kbh. Torino
Ny-York
Rvk
Nykjøbing på Falster
Kbh. eller Mariboe?
Kbh efter
Tranqueb.
Odensøe
Clerichshavn og Clericia i.e. København
Skive Viborg
Neu-Fahr-Wasser i.e. Hamburg
Kjøbenhavn  trykt hos N. Møller
Vibort
Kjøbenhavn  J. C. Jensens Bogtrykkeri
St. Paul Minnesota
Nykjöbing paa Morsø
Nye Clerichsstad i.e. København
Tunder
Frederikshavn Hjøring
Havnia
Antwerpen
S.a
Fredericia Kbh
Hoolum i Hialltadal
Kjøbenhavn  s.n.
Ringsted?
Haun
Kbh. Horsens
Prentet i Kiøbenhaffn
Mors
Brunssberg Braniewo
Kjøbenhavn  Trykt hos H. L. S. winding
Københafn
